id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
11,0.680454068,0.658446399,0.641840199,0.630606018,0.624745392,0.624873282,0.632488403,0.649682814,0.678148382,0.717589572,0.764063609,0.809156209,0.840914331,0.846848771,0.818244811,0.754067007,0.662582261,0.559700176,0.464526101,0.393903176,0.358080521,0.358960118,0.391121851,0.44471377,0.508815396,0.574091461,0.634161037,0.685730225,0.727919519,0.761302195,0.787045402,0.806344446,0.820167024,0.829224312,0.83405842,0.835155279,0.833029824,0.828265867,0.821516304,0.813478939,0.80486258,0.796352435,0.788577837,0.782081771,0.777291272,0.774489655,0.773793984,0.775142631,0.778297483,0.782863232,0.788323042,0.79408668,0.799544886,0.804122748,0.807325415,0.808771179,0.80820932,0.805522608,0.800716427,0.793897904,0.785249081,0.77499808,0.763391646,0.750671558,0.737056393,0.72272925,0.707831259,0.69246022,0.676673372,0.660493206,0.643915235,0.626916773,0.609465923,0.591530182,0.573084223,0.554116576,0.534635053,0.514670819,0.494281104,0.473550535,0.45259113,0.43154098,0.410561675,0.389834563,0.369555951,0.349931431,0.331169536,0.31347501,0.297041997,0.282047494,0.26864539,0.256961434,0.247089357,0.239088371,0.23298212,0.228759096,0.226374425,0.225752853,0.226792695,0.229370468,0.233345926
12,0.530834957,0.572009083,0.601339797,0.620302872,0.63009898,0.630824203,0.62070253,0.59551318,0.548696288,0.47359093,0.369847953,0.253319906,0.161560104,0.142604883,0.224881922,0.388698832,0.569349371,0.697656359,0.745635527,0.73731254,0.718905013,0.719803532,0.737136298,0.748388768,0.73318464,0.685753861,0.613981939,0.531670763,0.451497984,0.381757554,0.326217886,0.285337118,0.257629776,0.24076364,0.232351393,0.230447681,0.233731328,0.241393748,0.252846815,0.267416712,0.284159095,0.301843846,0.319074889,0.334470966,0.34683903,0.355301818,0.359371987,0.358983398,0.354493022,0.346659665,0.336596278,0.325688258,0.315474161,0.307495973,0.303138271,0.303483177,0.309207303,0.320538017,0.337272728,0.358851433,0.384463373,0.413165355,0.443991594,0.476040959,0.508534775,0.540844821,0.572495798,0.603148927,0.632573887,0.66061557,0.687160819,0.712108805,0.73534741,0.756736913,0.776101522,0.793228748,0.807876196,0.819785007,0.828698831,0.834386888,0.836669291,0.83544254,0.83070283,0.822564772,0.811273277,0.797206726,0.780870235,0.762878687,0.743930253,0.724772167,0.706161425,0.688823738,0.673414347,0.660484097,0.650453601,0.643597402,0.640038898,0.639755682,0.642593944,0.648289815,0.656495167
13,0.840163488,0.810208253,0.778763521,0.754089902,0.740183489,0.738795299,0.751405709,0.778942724,0.816467792,0.841071236,0.803845854,0.663848276,0.480609961,0.435435645,0.617996567,0.829075848,0.827300653,0.677044661,0.589740204,0.606975254,0.641623786,0.639397119,0.606480554,0.585391118,0.618849777,0.705840373,0.801895962,0.860973887,0.866235148,0.828736137,0.770764979,0.712124099,0.664673287,0.632795199,0.616244835,0.61297066,0.620797614,0.637847262,0.66218052,0.691346099,0.722325982,0.751963041,0.777601276,0.797565137,0.811258525,0.818912421,0.821175145,0.818758993,0.812278066,0.802305474,0.789585797,0.775275486,0.761062414,0.749051344,0.741395369,0.739771858,0.74488688,0.756195818,0.77194505,0.789514044,0.80593245,0.818406641,0.824719003,0.823432843,0.813908178,0.796182286,0.770785496,0.738554066,0.700480638,0.65761979,0.611048275,0.561868389,0.51123778,0.460407929,0.410754777,0.363787608,0.321125852,0.284438185,0.255344102,0.235284941,0.225378411,0.226276788,0.238052557,0.26013489,0.291314994,0.329828141,0.373506712,0.419984456,0.466920985,0.512210388,0.55414063,0.59148081,0.623488926,0.649849505,0.670563876,0.685822797,0.695890271,0.701019919,0.701413879,0.69722257,0.688574626
14,0.157366249,0.239937625,0.321007254,0.380690664,0.413150153,0.417218474,0.389486754,0.323372621,0.223390824,0.151879247,0.25875732,0.56668546,0.745320534,0.751574381,0.642547627,0.205855717,0.220480378,0.573274383,0.69810288,0.679750127,0.634098634,0.63768853,0.682068954,0.70742583,0.671906803,0.53596422,0.318071626,0.146502229,0.12254695,0.222822635,0.363897617,0.485805165,0.569741117,0.619258249,0.642889698,0.647287692,0.63645833,0.612843144,0.578455205,0.535535967,0.486838089,0.435808999,0.386567714,0.343358996,0.309637813,0.287412755,0.277250435,0.278735129,0.29087615,0.312135097,0.340136521,0.371419681,0.401598723,0.426009025,0.440551418,0.442349893,0.430117213,0.404443641,0.368169827,0.32661366,0.287175022,0.258087359,0.24663189,0.257496403,0.291876045,0.347509015,0.419434347,0.501070369,0.585256161,0.665063559,0.734353814,0.788154745,0.822959554,0.837015912,0.830609791,0.806277414,0.768823879,0.725010499,0.682813348,0.650258461,0.633987588,0.637856755,0.661953722,0.702380866,0.751967889,0.801798247,0.843156685,0.869351845,0.876912954,0.865889558,0.839297344,0.802015168,0.759548179,0.717011948,0.678523832,0.647004,0.624263601,0.611217952,0.608092299,0.614551442,0.629748691
15,0.466903369,0.640325479,0.761549814,0.819036036,0.838632027,0.840398251,0.825430397,0.766690208,0.614946104,0.459853742,0.678965526,0.822451068,0.569377956,0.549347229,0.732443371,0.574380444,0.598158674,0.772236862,0.599906905,0.631805447,0.702408695,0.698397843,0.628969995,0.579806675,0.639603043,0.788653493,0.733775437,0.435244422,0.377610053,0.608173869,0.810502633,0.869807944,0.844112048,0.799485069,0.769620834,0.764916915,0.782312291,0.810904269,0.837093465,0.850808229,0.848605331,0.831385521,0.801896958,0.765359801,0.729776349,0.703518275,0.692358232,0.698215521,0.719398462,0.751272781,0.787200321,0.820272079,0.845660167,0.862155108,0.871484273,0.875683362,0.874311695,0.863405813,0.837393841,0.79400323,0.73973417,0.691075969,0.668080772,0.68284835,0.730534746,0.789249182,0.828913853,0.823732201,0.762068908,0.650279519,0.510316436,0.372899819,0.268629691,0.219400779,0.23237841,0.298471314,0.396187971,0.499750301,0.588023656,0.649790695,0.682635603,0.686935369,0.660374814,0.598382656,0.500974763,0.380346148,0.261823784,0.17560439,0.144035946,0.172597223,0.249606222,0.353415105,0.461770137,0.55841615,0.635154042,0.690404303,0.726350483,0.746272339,0.752776981,0.747005567,0.728659227
16,0.742300442,0.599532165,0.367381234,0.220030561,0.164690355,0.160069096,0.204365043,0.361053753,0.644423719,0.753617847,0.550194319,0.222336014,0.70147784,0.717083477,0.443748453,0.6837492,0.656953127,0.354418816,0.677334604,0.637240768,0.517452117,0.526087572,0.644312982,0.706917463,0.63552341,0.328865239,0.444626574,0.749862237,0.731175354,0.651163298,0.266331318,0.116758347,0.209464662,0.334529155,0.40768877,0.420891702,0.384454559,0.314174028,0.233605469,0.173825258,0.162156344,0.205162759,0.286492085,0.379061615,0.457982637,0.508978848,0.528495769,0.517782177,0.47869375,0.414901543,0.335845282,0.257369982,0.195317251,0.156829669,0.138748464,0.135183629,0.147074487,0.185450005,0.26312237,0.376648756,0.495985867,0.58117919,0.609206618,0.573866715,0.473759097,0.333516889,0.231348162,0.26107516,0.441735254,0.676923706,0.823721658,0.81222455,0.7016295,0.620358473,0.649260119,0.759232887,0.855291373,0.869638387,0.807543391,0.719441038,0.652991563,0.634506771,0.672526781,0.752287288,0.820680421,0.803671848,0.676391112,0.514830355,0.442099705,0.512820464,0.668608643,0.803536494,0.851135991,0.811616266,0.723988473,0.629443172,0.553599696,0.50670029,0.490605206,0.504589571,0.547196737
17,0.581776135,0.788397371,0.802398034,0.602146086,0.485088511,0.474549405,0.571993654,0.796082784,0.725181253,0.53019994,0.813105605,0.604971327,0.625222484,0.602003583,0.842916921,0.697559556,0.742787267,0.794122674,0.65743197,0.717609413,0.826391127,0.822665186,0.706177633,0.594064279,0.70933557,0.762521158,0.853700583,0.579485851,0.623727231,0.75535657,0.688670895,0.362124456,0.570092724,0.750399554,0.80228025,0.806257565,0.787226914,0.727017416,0.616628766,0.506018335,0.486926019,0.587226722,0.732067774,0.834867784,0.87308757,0.875548297,0.8736838,0.878423813,0.881389779,0.860277379,0.792133129,0.679048655,0.557550075,0.467651352,0.42096395,0.410196834,0.438252514,0.524480279,0.665780919,0.790815208,0.81936274,0.780242311,0.768473786,0.82117084,0.87547638,0.801902732,0.645206363,0.689042837,0.835274227,0.629191479,0.264041996,0.279853782,0.544828157,0.691064546,0.668342485,0.470194577,0.209311179,0.152573751,0.327360219,0.538347177,0.664314255,0.698686143,0.644095261,0.481384263,0.289702114,0.311154417,0.573405249,0.748404325,0.767884202,0.759959972,0.603277777,0.320691323,0.19585418,0.32425209,0.549239028,0.721212215,0.807056283,0.837145829,0.844045738,0.840398636,0.817308194
18,0.682152416,0.300315842,0.257863631,0.649999915,0.739197575,0.742530177,0.68422914,0.277105474,0.451447682,0.724049558,0.234052354,0.647981765,0.629881302,0.661183199,0.153146485,0.532368649,0.445427672,0.291797323,0.588811405,0.478056118,0.204906042,0.21696134,0.505251911,0.685145587,0.504001188,0.370828352,0.141140969,0.714503224,0.669472628,0.43305446,0.535590255,0.722733107,0.696886292,0.413774012,0.289327045,0.28161888,0.333300292,0.469784804,0.645683353,0.737968256,0.758270086,0.706678291,0.484048134,0.230435687,0.12321712,0.126926692,0.142509416,0.130597503,0.114976166,0.166920823,0.341021361,0.56842696,0.713538784,0.752601605,0.74999411,0.747587754,0.753601293,0.734151817,0.583531927,0.331959322,0.269159876,0.379090559,0.408546572,0.276524897,0.13065686,0.358315335,0.663510851,0.564980149,0.217470012,0.709175164,0.694322695,0.730688417,0.846239911,0.641727085,0.660692683,0.826909379,0.58330578,0.462478759,0.773955798,0.823478284,0.673558349,0.604595582,0.697197985,0.837582714,0.733256053,0.780455504,0.875972362,0.621425242,0.551060451,0.564619687,0.823479559,0.790322671,0.574300123,0.778182462,0.815189959,0.562413769,0.341674882,0.247783652,0.225419015,0.239522911,0.314378491
19,0.658196262,0.731134677,0.6743408,0.736534147,0.58834019,0.581416252,0.687317289,0.707197704,0.847831283,0.602801512,0.635539039,0.748821031,0.75254715,0.708041462,0.462601791,0.803628174,0.814681013,0.729492142,0.791200709,0.847929088,0.580924647,0.604979834,0.841024096,0.649407197,0.83640018,0.825389775,0.430658042,0.569457673,0.642794884,0.811586152,0.846180088,0.640517208,0.676913757,0.844061182,0.725694515,0.71327991,0.777581254,0.855950452,0.764110205,0.620033743,0.530405078,0.606189981,0.829131052,0.618748527,0.379936412,0.387370185,0.4246265,0.39488095,0.355926147,0.4879265,0.781864016,0.82870121,0.662311543,0.596428361,0.60523472,0.609624767,0.596435303,0.636841478,0.841070017,0.791953337,0.699057842,0.81772575,0.834809268,0.704956749,0.403180041,0.78194136,0.671147729,0.830448093,0.617030714,0.565345401,0.557621582,0.525498076,0.214848287,0.672440837,0.653805075,0.256489976,0.692870455,0.764617867,0.382453362,0.274483812,0.635172792,0.743329043,0.598575378,0.229900731,0.486897321,0.440300134,0.220342267,0.740148291,0.788485084,0.777532129,0.322398547,0.408863203,0.754903809,0.391589709,0.314681876,0.800316538,0.795841358,0.674034451,0.634590182,0.660014371,0.768884516
20,0.567169811,0.431006875,0.549742682,0.432543129,0.678738966,0.686807468,0.53581386,0.495160971,0.136892014,0.659460693,0.618391871,0.421045403,0.398163286,0.494465127,0.753216089,0.266970829,0.238044849,0.455302679,0.305359129,0.14481993,0.691906208,0.66534204,0.167281419,0.606509176,0.180418103,0.240876208,0.750933639,0.7198792,0.636402407,0.259787645,0.174672439,0.649373236,0.585055072,0.175420615,0.469562745,0.492930567,0.349063877,0.142341132,0.421687604,0.690473411,0.753229176,0.687246326,0.217396214,0.640882858,0.734122141,0.738874072,0.752868782,0.744539357,0.721415692,0.745846975,0.342370561,0.247370341,0.636796633,0.732605555,0.726660428,0.721855314,0.736330031,0.689529665,0.24983431,0.35564119,0.537885088,0.259884415,0.214251889,0.518903759,0.74826952,0.352686736,0.624963608,0.25526192,0.696277944,0.784914583,0.8364879,0.811363093,0.599994001,0.660616788,0.681244132,0.684834586,0.729850415,0.559213607,0.849691218,0.711610332,0.714508978,0.501974007,0.75858568,0.64079817,0.874990773,0.823968429,0.594297323,0.506117896,0.397466249,0.429578901,0.757752167,0.824208795,0.508694678,0.852341198,0.767753619,0.360269325,0.347785829,0.621407388,0.687357099,0.646834592,0.42141592
